"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000175087.10"	70	50	58	12	38	45	22	17	32
"ENSG00000142684.9"	169	151	116	167	141	121	129	80	99
"ENSG00000142675.18"	19	15	12	18	12	13	7	11	5
"ENSG00000236155.6"	34	38	31	15	27	12	13	11	26
"ENSG00000130695.15"	200	237	233	208	209	196	126	144	167
"ENSG00000142669.15"	1513	1049	1118	2428	1317	1291	1198	1000	1130
"ENSG00000158062.20"	127	115	95	81	122	72	85	70	83
"ENSG00000176092.15"	3589	2665	2111	6209	4982	2734	2970	2614	3413
"ENSG00000117682.17"	579	585	588	519	631	478	325	455	391
"ENSG00000225891.2"	43	42	65	15	13	14	4	4	11
"ENSG00000198830.11"	510	424	659	336	442	372	230	253	370
"ENSG00000117676.14"	756	723	522	922	833	713	657	630	598
"ENSG00000260063.1"	28	30	32	6	16	11	6	7	2
"ENSG00000117713.20"	4587	4553	5176	4734	5277	3858	2149	3066	2844
"ENSG00000060642.11"	473	421	477	271	282	288	240	213	168
"ENSG00000204160.12"	637	543	555	665	510	451	413	451	321
"ENSG00000175793.12"	143	77	100	179	117	120	106	82	125
"ENSG00000142751.15"	739	706	624	506	670	655	506	535	413
"ENSG00000198746.13"	142	169	155	126	165	165	150	155	67
"ENSG00000090273.14"	343	299	323	326	318	332	240	236	215
"ENSG00000131910.5"	5	4	12	3	8	9	3	3	14
"ENSG00000175707.9"	447	418	408	392	345	378	274	280	247
"ENSG00000253368.4"	453	205	384	316	175	258	228	186	278
"ENSG00000158246.8"	51	28	33	65	35	69	51	65	29
"ENSG00000090020.11"	1541	1298	1196	1846	1741	1146	991	1165	1050
"ENSG00000142784.16"	1361	1266	1174	1414	1204	1091	948	884	832
"ENSG00000243659.1"	8	10	7	7	3	9	3	6	4
"ENSG00000186501.14"	768	671	630	541	629	467	468	435	329
"ENSG00000241547.1"	34	37	47	27	35	22	25	30	29
"ENSG00000142765.18"	256	189	199	204	157	172	146	144	191
"ENSG00000142733.17"	160	95	73	154	81	76	86	79	96
"ENSG00000158195.11"	2787	2520	2585	4411	3083	3146	2448	2369	2600
