"4UIN"	"4UIWT"	"490WT"	"490N"	"4180N"	"4180WT"	"5UIN"	"5UIWT"	"545WT"	"545N"	"590WT"	"590N"	"5180N"	"5180WT"	"6UIWT"	"645WT"	"645N"	"690WT"	"690N"	"6180N"	"6180WT"	"445N"	"445WT"	"Gene_ID"
1048	174	175	68	45	2013	68	78	27	6	461	48	403	2543	367	32	13	336	37	836	5685	22	99	"E2348C_2816"
9	1	2	0	1	31	1	0	0	0	13	0	8	40	10	2	0	2	0	16	70	1	2	"E2348C_2817"
76	8	26	6	10	122	9	11	8	5	41	1	29	192	33	2	1	17	4	62	308	3	7	"E2348C_2819"
12	4	2	4	1	12	0	3	4	1	2	1	7	25	12	0	0	6	0	6	40	1	0	"E2348C_2827"
2826	503	465	169	105	3053	335	408	186	44	1123	96	1119	5258	823	121	47	617	54	1350	11312	36	297	"E2348C_2828"
4	3	0	2	1	14	0	2	1	0	11	1	8	44	6	0	0	5	0	9	70	0	0	"E2348C_2829"
363	79	75	38	15	818	18	44	15	7	116	6	86	619	117	33	8	101	14	244	1347	7	46	"E2348C_2830"
29	5	4	2	4	56	10	4	1	0	11	3	19	92	15	1	1	5	1	32	142	1	6	"E2348C_2831"
40	2	3	2	3	47	7	11	1	0	15	0	8	62	11	3	0	7	2	14	118	0	5	"E2348C_2832"
72	8	12	8	3	91	6	3	1	0	33	2	57	187	28	4	3	15	3	56	304	4	14	"E2348C_2833"
803	141	201	75	103	1216	91	118	59	24	429	38	608	2292	329	62	20	243	52	664	3767	48	120	"E2348C_2834"
33	7	21	9	8	136	1	3	5	1	54	5	38	230	3	7	3	27	1	76	406	3	21	"E2348C_2835"
20	8	8	6	6	72	2	2	4	0	20	2	29	121	4	1	0	11	1	45	277	2	7	"E2348C_2836"
54	5	17	4	2	70	3	2	1	2	31	5	30	174	27	7	0	7	4	28	172	4	4	"E2348C_2837"
113	24	39	24	11	349	4	16	3	1	99	1	68	466	64	3	5	55	3	136	787	8	21	"E2348C_2838"
162	17	20	13	7	338	18	16	8	2	51	4	45	465	86	8	0	33	9	143	720	3	19	"E2348C_2839"
51	12	9	5	4	78	3	11	0	1	14	0	21	84	19	0	1	17	5	45	224	1	0	"E2348C_2840"
81	11	25	9	14	98	6	9	10	1	55	5	65	192	31	6	0	26	5	85	491	0	10	"E2348C_2841"
28	6	10	6	11	56	2	8	5	1	28	12	20	145	10	0	1	18	9	38	238	0	3	"E2348C_2842"
167	37	54	15	13	228	11	7	12	1	98	7	103	484	37	18	10	25	11	155	689	5	31	"E2348C_2843"
203	41	87	39	16	563	9	7	14	4	128	11	114	880	90	10	10	59	12	192	1291	1	24	"E2348C_2844"
205	29	50	21	25	276	23	19	11	6	91	13	129	565	76	11	3	47	18	185	798	3	29	"E2348C_2845"
246	48	68	38	35	524	26	28	27	9	169	19	258	980	125	33	5	68	23	306	1423	5	54	"E2348C_2846"
55	8	7	6	4	88	3	4	3	1	31	2	38	150	45	1	3	20	2	47	229	1	8	"E2348C_2847"
224	32	43	21	20	331	14	22	10	2	75	10	136	614	126	7	3	51	1	179	799	4	15	"E2348C_2848"
864	145	209	91	70	1062	37	52	34	7	452	36	426	2692	200	27	17	185	31	696	2559	19	88	"E2348C_2849"
1057	211	320	113	104	2381	85	93	77	13	525	46	450	3623	332	77	28	383	51	903	4030	13	82	"E2348C_2850"
30	9	11	4	5	50	2	2	3	0	11	1	17	79	5	4	1	6	0	45	144	2	10	"E2348C_2851"
31	4	13	8	8	139	3	9	2	1	47	4	50	186	8	5	0	18	7	61	371	1	13	"E2348C_2852"
147	24	49	11	18	227	11	24	15	7	77	3	108	511	48	12	2	28	8	123	705	7	20	"E2348C_2853"
47	7	27	9	13	64	3	2	7	0	54	2	46	206	15	3	2	9	2	81	251	1	7	"E2348C_2854"
19	5	2	5	2	60	3	6	3	0	8	0	7	54	5	0	0	12	0	12	82	0	2	"E2348C_2855"
66891	9244	181	145	451	16170	3337	5822	208	37	429	43	2641	17189	17833	50	74	344	55	6038	38298	159	576	"E2348C_2856"
120	12	24	9	3	113	12	12	3	1	34	2	51	219	35	5	1	20	0	95	364	5	15	"E2348C_2857"
65	17	27	11	5	156	7	7	8	2	70	4	117	359	20	17	0	26	7	161	566	2	26	"E2348C_2858"
110	22	36	9	14	283	5	8	3	5	74	2	38	357	31	4	2	60	8	80	655	0	12	"E2348C_2859"
10	2	8	5	3	60	2	1	1	0	18	1	24	90	8	0	1	7	0	15	169	3	12	"E2348C_2860"
104	22	8	3	6	98	10	11	5	1	11	3	37	129	52	2	0	19	0	47	264	2	5	"E2348C_2861"
355	60	140	77	43	926	8	26	38	6	312	21	274	1419	71	44	6	185	19	544	2576	8	96	"E2348C_2862"
15	3	4	0	2	24	1	3	0	0	2	2	11	30	13	0	0	2	0	6	44	0	1	"E2348C_2863"
80	17	26	8	4	208	7	19	7	6	27	2	37	267	67	8	2	22	6	57	413	5	11	"E2348C_2864"
31	9	17	1	29	41	53	13	6	7	54	4	219	404	3	2	0	7	1	13	78	3	9	"E2348C_rRNA_5"
35	195	5	0	181	20	17	9	1	11	0	2	0	2	2	5	4	30	9	0	1	9	7	"EBG00001076710"
3218	749	390	385	182	9136	3018	2016	144	91	806	113	1041	6138	21895	143	64	1886	390	2984	9320	35	135	"E2348C_2866"
48	9	9	2	8	40	4	11	1	3	24	0	24	121	21	0	1	5	4	24	151	4	9	"E2348C_2867"
130	22	28	10	10	183	12	11	3	0	48	3	68	322	51	5	2	15	5	88	423	4	7	"E2348C_2868"
2070	346	495	162	156	2622	104	116	148	21	1000	90	575	4839	434	174	29	787	72	1530	6435	39	230	"E2348C_2869"
14	2	1	0	2	14	0	3	0	0	11	0	8	47	1	0	0	9	5	19	40	0	0	"E2348C_2870"
13454	1568	899	393	426	4923	838	977	264	86	863	125	796	7723	2223	355	109	984	346	1654	7645	155	840	"E2348C_2871"
52	18	3	0	0	27	13	37	0	1	1	1	2	26	137	1	0	2	2	9	32	0	2	"E2348C_2872"
292	53	119	64	41	386	11	32	21	1	196	16	167	900	51	38	14	106	16	376	1216	15	55	"E2348C_2873"
115	25	14	7	5	68	6	16	0	0	31	4	39	138	16	6	4	5	1	58	270	1	5	"E2348C_2874"
226	28	34	19	9	192	14	29	5	3	72	3	63	253	57	9	4	28	12	79	438	11	23	"E2348C_2875"
32	4	3	0	1	24	1	4	0	0	5	0	6	68	7	4	2	7	0	8	73	0	10	"E2348C_2876"
464	62	41	15	14	349	21	40	5	6	72	9	52	538	150	6	4	68	7	96	687	4	17	"E2348C_2877"
81	13	4	2	3	56	3	9	0	2	22	1	18	83	47	4	1	1	0	21	135	0	0	"E2348C_2878"
33	0	2	0	0	15	4	2	0	0	0	0	4	42	9	0	1	1	0	16	50	2	1	"E2348C_2879"
22	0	3	0	0	12	3	1	0	0	3	0	2	19	13	0	0	3	0	12	30	0	3	"E2348C_2880"
27	0	0	0	3	47	0	0	0	0	2	0	3	55	11	0	0	3	1	14	76	0	2	"E2348C_2884"
76	11	16	3	1	88	1	4	5	0	29	0	19	151	12	6	3	17	4	36	260	1	15	"E2348C_2893"
912	75	88	23	21	765	58	84	14	3	135	5	72	916	236	21	7	105	20	230	1486	5	37	"E2348C_2894"
1221	166	148	110	83	1610	100	172	57	27	490	57	515	2514	425	68	35	257	67	765	5695	27	152	"E2348C_2895"
629	131	126	48	82	733	102	161	57	11	422	71	576	2094	242	49	28	106	41	665	3036	21	63	"E2348C_2896"
913	169	171	83	102	1359	100	123	76	21	455	79	512	2727	246	65	41	175	54	901	4911	32	127	"E2348C_2897"
862	130	115	60	80	1585	101	156	48	27	301	49	390	2078	371	36	23	196	52	659	4214	30	64	"E2348C_2898"
209	34	60	16	34	393	29	36	27	7	152	15	135	665	80	14	4	71	14	174	1139	5	54	"E2348C_2899"
115	19	19	3	7	97	3	10	0	2	36	6	45	190	38	9	1	13	7	68	323	4	21	"E2348C_2900"
135	18	40	15	14	232	15	13	11	0	75	10	81	312	79	10	5	28	3	153	729	7	15	"E2348C_2901"
1261	319	298	146	128	2201	59	97	108	17	619	87	653	2862	253	129	60	626	68	1696	5011	25	138	"E2348C_2902"
119	14	19	9	7	94	9	8	1	2	29	4	52	210	33	8	0	14	2	46	316	2	20	"E2348C_2903"
58	14	32	6	12	111	7	7	3	2	68	3	37	221	28	8	1	34	2	70	349	1	18	"E2348C_2904"
1534	271	269	90	90	2152	57	68	49	11	414	29	337	3355	416	51	22	365	48	647	4135	29	118	"E2348C_2905"
35	4	18	6	12	117	3	5	10	0	24	5	27	207	25	5	2	19	0	72	462	0	18	"E2348C_2906"
77	17	48	20	13	302	1	11	12	1	130	11	67	459	35	19	10	44	7	126	884	8	16	"E2348C_2907"
250	30	97	30	19	438	19	13	12	0	128	5	118	619	67	14	6	62	8	187	1104	8	65	"E2348C_2908"
574	25	27	78	20	340	3	39	19	6	140	60	28	175	43	6	3	535	6	52	220	1	20	"EBG00001076608"
76	3	75	18	9	500	1	3	13	0	145	9	73	743	29	7	0	71	6	269	1134	1	19	"E2348C_2912"
25	2	5	1	1	91	0	0	2	2	16	2	13	115	2	4	0	9	1	37	222	2	2	"E2348C_2914"
1180	142	284	140	191	2545	47	67	47	5	426	47	1457	5922	233	68	34	169	104	2792	7906	26	97	"E2348C_2915"
379	31	197	29	33	782	13	8	12	3	329	16	96	1643	46	20	3	132	12	308	2139	4	36	"E2348C_2916"
105	14	100	35	13	504	6	10	13	1	148	9	51	880	24	23	2	72	10	220	891	3	39	"E2348C_2917"
44	1	71	29	4	364	3	2	4	0	75	6	27	487	11	14	5	63	17	211	670	2	24	"E2348C_2918"
148	14	99	30	30	515	11	4	27	2	130	18	91	991	25	19	5	57	31	412	1079	3	43	"E2348C_2920"
6	1	1	0	0	10	0	2	0	0	8	0	3	23	0	0	1	2	0	6	51	0	2	"E2348C_2927"
64	7	10	6	6	94	5	4	2	0	21	2	18	168	20	0	1	7	1	39	363	3	3	"E2348C_2928"
14	3	1	3	4	50	2	1	0	0	6	1	11	72	2	1	1	2	0	16	139	0	13	"E2348C_2929"
6	2	6	2	1	24	0	0	0	0	13	0	6	33	3	3	0	8	1	7	39	1	2	"E2348C_2930"
16	5	6	2	0	26	0	2	3	0	9	2	5	34	8	0	0	3	0	18	50	0	8	"E2348C_2931"
40	10	46	26	12	1007	5	0	13	0	141	10	93	563	6	7	1	123	1	369	2007	2	9	"E2348C_2932"
61	11	7	3	1	54	5	3	2	0	13	0	11	76	14	0	0	2	1	15	99	0	0	"E2348C_2933"
63	11	18	4	5	44	11	3	4	1	17	1	9	69	24	12	2	10	0	26	73	3	5	"E2348C_2934"
60	9	14	6	9	82	1	10	3	1	6	4	29	152	15	0	3	4	1	21	276	0	16	"E2348C_2935"
41	8	18	8	0	59	1	3	4	1	25	4	28	115	27	2	0	10	1	60	187	1	6	"E2348C_2936"
6	0	7	0	4	15	0	0	1	0	5	1	8	25	0	0	0	0	0	13	43	0	3	"E2348C_2937"
261	48	4	4	0	91	29	24	5	0	5	3	8	34	99	2	1	12	0	7	69	1	21	"E2348C_2938"
92	10	4	0	0	27	19	14	1	0	4	0	8	7	42	1	0	0	3	5	23	0	5	"E2348C_2939"
665	102	51	7	4	305	85	115	10	6	39	0	29	106	313	9	9	25	5	44	229	13	57	"E2348C_2940"
1015	113	77	13	6	394	81	76	21	1	52	12	24	148	288	25	7	37	9	54	244	8	111	"E2348C_2941"
160	15	234	86	31	911	14	19	42	10	368	29	76	1003	83	47	21	217	42	197	1180	22	113	"E2348C_2942"
57	9	11	8	4	72	0	3	6	3	43	3	22	112	22	3	3	6	1	27	141	3	3	"E2348C_2943"
79	9	30	6	6	97	10	6	4	1	51	2	23	144	25	11	4	9	6	51	140	1	5	"E2348C_2944"
325	39	130	80	50	910	18	29	27	10	258	22	234	1086	174	34	10	131	37	338	1816	16	107	"E2348C_2946"
21	7	17	6	3	75	3	3	2	0	22	2	23	48	18	3	0	6	5	30	216	1	14	"E2348C_2947"
724	99	245	110	68	2391	22	37	45	6	368	20	286	1785	111	46	31	273	42	838	5489	13	101	"E2348C_2948"
48	10	13	5	3	164	9	6	2	3	15	2	36	161	18	2	1	30	1	67	304	0	4	"E2348C_2949"
39	7	20	5	3	96	9	6	2	1	28	5	28	103	19	7	0	10	0	46	209	1	2	"E2348C_2950"
8	0	2	0	0	24	2	3	0	0	2	1	2	36	0	1	0	1	0	6	40	0	1	"E2348C_2952"
5	0	2	3	0	13	0	0	2	0	2	0	7	27	7	1	0	1	0	19	31	0	3	"E2348C_2954"
344	70	48	24	30	439	26	23	29	1	134	18	175	793	81	6	8	88	8	290	1577	2	25	"E2348C_2955"
275	60	55	28	18	458	31	29	19	7	158	11	179	804	131	16	9	86	9	250	1367	1	42	"E2348C_2956"
27	5	12	1	1	61	7	2	3	0	30	3	22	105	16	2	2	1	1	30	190	1	1	"E2348C_2957"
68	8	69	18	10	323	2	5	6	0	198	10	86	592	25	4	2	57	5	112	1051	2	15	"E2348C_2958"
0	0	5	1	2	45	0	0	0	0	14	3	9	83	0	0	0	7	0	21	94	0	0	"E2348C_tRNA_52"
738	365	266	78	85	4973	277	489	62	33	638	59	402	3348	1358	88	26	647	66	720	4057	109	213	"E2348C_tRNA_56"
21	4	0	0	0	51	4	15	0	0	8	0	5	0	1	1	1	30	0	0	2	0	0	"EBG00001076600"
2290	357	293	97	99	2308	200	244	84	29	427	30	313	3146	612	93	20	360	66	751	4493	38	169	"E2348C_2959"
2865	570	696	246	284	3304	175	213	163	37	1329	141	1406	7678	642	216	76	658	125	2064	9680	79	315	"E2348C_2960"
65	13	13	5	3	108	9	2	4	3	19	4	12	155	15	1	2	27	3	39	193	2	14	"E2348C_2961"
130	26	95	43	41	461	18	20	21	2	268	33	318	970	45	40	17	127	20	381	1633	8	37	"E2348C_2962"
8	4	8	7	5	35	4	0	0	0	20	3	19	73	10	0	0	5	0	11	147	1	0	"E2348C_2963"
24	7	5	4	2	36	0	2	2	0	10	0	15	63	4	2	5	6	2	18	152	0	0	"E2348C_2964"
68	14	23	12	3	98	8	9	4	2	39	2	49	145	32	9	0	17	2	66	428	0	7	"E2348C_2965"
3	0	5	1	0	30	0	1	1	0	8	1	11	39	16	0	0	2	3	28	88	0	0	"E2348C_2966"
22	1	6	0	0	17	2	1	0	0	5	0	6	21	9	2	0	5	0	9	50	0	3	"E2348C_2974"
116	22	1	0	2	13	19	19	2	0	6	0	4	27	57	0	0	1	2	5	69	1	10	"E2348C_2976"
241	37	0	0	0	2	30	20	1	0	2	0	1	3	90	2	0	2	0	3	9	0	3	"E2348C_2977"
37	5	1	1	3	35	5	0	1	4	5	3	5	83	7	2	1	11	1	20	64	0	0	"E2348C_2980"
292	50	74	26	22	417	20	17	26	8	91	12	71	636	117	25	4	69	23	247	952	5	36	"E2348C_2981"
82	8	2	1	1	10	7	11	1	0	5	0	1	19	33	1	0	6	0	9	42	2	0	"E2348C_2982"
178	22	0	0	0	5	19	22	3	3	2	0	4	5	69	0	0	0	1	0	10	1	0	"E2348C_2986"
100	13	0	0	0	3	3	9	3	0	0	0	2	2	39	0	0	0	0	0	7	0	0	"E2348C_2987"
182	21	0	0	0	8	21	32	0	0	1	0	6	9	55	0	0	3	0	8	19	0	1	"E2348C_2988"
504	74	0	0	0	1	47	58	4	0	0	0	4	0	174	2	0	1	0	1	1	2	5	"E2348C_2990"
28	2	0	1	1	13	7	6	0	0	3	1	6	26	11	0	0	0	0	3	40	0	1	"E2348C_2992"
73	6	2	0	3	34	6	6	2	1	9	0	14	71	23	2	0	7	0	21	102	0	0	"E2348C_2994"
84	13	3	3	8	27	6	9	2	1	12	1	21	91	19	4	0	0	2	19	179	0	0	"E2348C_2995"
25	4	2	0	3	44	1	3	1	2	9	0	18	61	22	0	0	5	1	23	77	0	9	"E2348C_2996"
330	43	47	10	13	271	8	21	15	0	59	1	44	502	40	13	5	48	14	115	897	3	27	"E2348C_2997"
50	11	36	16	14	164	10	15	10	1	37	5	94	265	20	9	2	33	1	97	466	4	20	"E2348C_2999"
10	5	6	0	2	31	0	0	2	0	8	0	7	48	2	2	0	5	2	8	76	0	0	"E2348C_3000"
25	4	11	3	6	77	2	6	2	5	27	1	22	113	10	0	0	10	3	40	233	2	1	"E2348C_3001"
15	6	1	4	3	31	1	0	3	0	6	1	1	31	13	0	0	3	0	4	48	0	3	"E2348C_3006"
19	1	5	3	5	45	0	1	2	0	17	0	10	114	6	2	0	11	2	25	170	0	8	"E2348C_3010"
395	63	67	33	47	524	71	82	31	3	143	18	335	987	119	15	10	69	20	327	1792	16	52	"E2348C_3011"
571	107	84	48	66	696	41	73	24	9	124	15	266	1043	219	41	11	41	25	369	1498	15	47	"E2348C_3012"
60	10	10	7	2	118	6	8	1	2	18	3	38	162	28	1	1	10	3	46	261	2	7	"E2348C_3013"
29	5	18	8	5	78	1	9	1	2	26	2	37	196	14	1	1	15	1	29	276	1	10	"E2348C_3014"
61	11	17	9	11	164	15	16	3	2	42	8	58	250	44	4	6	36	11	71	470	2	10	"E2348C_3015"
24	6	5	2	5	47	3	2	3	1	14	3	31	73	5	5	1	4	0	16	127	1	0	"E2348C_3016"
69	9	20	9	17	121	7	13	8	2	54	5	78	212	15	3	1	21	3	49	400	0	1	"E2348C_3017"
78	17	24	9	7	152	4	15	4	1	50	3	42	257	36	9	8	17	7	67	446	2	15	"E2348C_3018"
61	9	7	3	2	55	3	5	0	0	22	0	15	99	26	2	2	9	5	11	106	1	4	"E2348C_3019"
1	1	6	0	5	57	0	0	1	2	11	1	21	78	2	0	0	2	1	21	193	0	0	"E2348C_3020"
7	1	12	8	13	147	0	2	1	0	33	9	51	164	12	8	2	19	10	60	312	0	6	"E2348C_3021"
3	1	63	26	12	238	0	0	5	0	70	6	56	393	0	6	15	51	16	97	471	8	10	"E2348C_3022"
61	8	11	4	1	86	6	8	4	0	20	5	21	129	11	1	2	8	6	23	155	2	7	"E2348C_3023"
6	1	14	7	11	187	0	1	4	0	43	4	50	233	4	7	0	19	1	84	381	1	6	"E2348C_3025"
4	0	20	9	24	328	1	1	4	4	53	14	99	345	1	6	5	45	13	154	575	4	5	"E2348C_3026"
5	1	37	21	29	312	1	0	4	6	80	5	87	339	9	6	7	44	9	110	507	4	5	"E2348C_3027"
36	13	25	11	4	127	2	0	1	1	39	5	19	200	8	1	2	20	6	61	297	0	7	"E2348C_3028"
8	5	10	2	2	36	1	1	2	1	11	3	16	62	10	5	0	3	3	20	101	1	0	"E2348C_3029"
16	1	8	6	3	40	2	0	0	0	9	0	18	98	3	1	0	3	1	22	134	0	0	"E2348C_3042"
80	7	29	8	4	156	3	8	8	1	31	0	37	198	16	2	3	20	0	78	460	1	16	"E2348C_3043"
196	25	164	40	50	641	24	12	25	3	235	28	180	1536	47	26	8	130	20	389	1632	18	48	"E2348C_3044"
10690	1758	1750	585	528	12704	392	570	205	45	2933	304	4920	29688	1380	231	124	1484	167	9655	46706	132	552	"E2348C_3046"
1189	187	320	101	89	1660	129	128	81	18	619	48	616	2928	328	52	32	257	61	877	4634	23	181	"E2348C_3047"
148	18	29	11	9	151	17	16	8	0	54	6	62	331	35	10	2	26	3	101	556	0	8	"E2348C_3048"
17	5	9	4	0	34	3	0	0	0	7	0	15	56	8	7	5	4	0	20	74	0	0	"E2348C_3049"
19	4	4	1	0	26	4	0	2	0	7	0	8	30	10	4	0	5	0	9	64	0	2	"E2348C_3050"
247	39	65	17	31	314	15	32	15	4	134	15	158	682	77	13	4	62	12	186	1111	13	26	"E2348C_3051"
42	13	15	2	10	82	8	5	5	3	25	2	36	163	16	6	0	18	9	41	197	1	2	"E2348C_3052"
120	23	31	16	14	289	14	8	9	2	54	9	70	364	83	6	2	40	10	135	728	2	21	"E2348C_3053"
14	3	3	0	1	12	3	1	2	0	5	0	5	35	1	0	2	0	0	15	48	0	0	"E2348C_3054"
46	10	10	4	2	70	1	4	0	0	21	3	35	97	5	5	0	5	1	36	180	1	6	"E2348C_3057"
7	1	4	0	0	12	0	1	0	0	7	3	21	22	7	0	0	8	0	10	64	2	1	"E2348C_3058"
181	9	1	5	0	12	11	25	0	0	4	4	1	9	3	0	0	12	0	4	19	0	1	"EBG00001076694"
84	8	54	23	9	325	6	3	12	4	46	5	68	436	26	16	4	22	11	134	601	7	21	"E2348C_3060"
181	17	77	25	20	277	13	4	14	3	120	14	97	599	32	30	7	59	8	175	952	4	34	"E2348C_3061"
427	48	37	15	8	172	38	56	9	3	62	7	62	329	119	17	4	22	9	80	556	2	18	"E2348C_3062"
95	23	47	35	22	386	10	12	28	6	73	15	138	439	16	10	5	42	4	268	1115	4	27	"E2348C_3063"
26	2	17	6	13	171	5	2	12	2	65	3	114	184	28	10	5	24	8	122	496	4	12	"E2348C_3064"
22	2	15	2	2	52	12	2	4	1	21	1	19	63	7	0	0	5	5	32	146	1	8	"E2348C_3065"
6	0	2	3	1	7	0	1	1	0	4	2	10	25	3	0	1	0	0	17	50	0	1	"E2348C_3066"
10	0	0	2	6	31	2	3	0	1	6	0	12	23	0	5	0	3	0	18	71	0	0	"E2348C_3070"
10	3	12	1	3	79	2	1	2	0	12	0	24	67	3	0	0	4	6	50	256	2	5	"E2348C_3071"
40	5	7	3	0	69	2	0	2	0	12	1	14	73	6	3	2	11	1	27	144	3	8	"E2348C_3072"
71	17	17	11	4	131	5	12	3	0	31	3	44	204	16	9	0	10	11	78	348	2	7	"E2348C_3073"
5	1	3	0	1	18	3	3	0	0	2	0	7	24	4	0	0	2	0	10	40	2	0	"E2348C_3074"
90	13	24	19	13	248	6	10	6	0	52	1	33	197	30	0	0	22	2	76	378	3	5	"E2348C_3075"
86	11	1	6	10	107	9	9	2	1	18	0	16	106	41	4	0	15	4	19	154	0	2	"E2348C_3076"
71	17	26	6	9	172	4	13	5	3	58	11	51	252	12	5	2	38	8	92	623	2	7	"E2348C_3077"
18	2	8	1	2	22	4	2	1	0	20	0	9	61	8	3	2	7	0	22	91	0	4	"E2348C_3078"
24	3	17	7	5	94	8	2	1	1	43	7	50	201	17	0	3	7	1	74	353	2	10	"E2348C_3079"
107	18	40	21	19	298	12	17	13	3	70	4	111	444	75	11	2	40	18	150	771	2	19	"E2348C_3080"
43	8	11	6	5	174	9	9	4	0	60	2	49	349	36	4	2	26	2	81	485	8	15	"E2348C_tRNA_57"
20	2	2	0	2	44	2	5	0	0	11	2	15	73	14	0	0	10	0	24	120	1	0	"E2348C_tRNA_58"
11	2	3	0	0	13	0	0	3	1	11	2	9	71	0	0	0	4	0	12	80	0	0	"E2348C_tRNA_59"
93	5	35	12	17	193	7	10	14	2	49	6	100	363	27	6	5	28	3	136	557	4	19	"E2348C_3086"
60	10	13	7	7	49	7	5	6	0	16	1	27	144	21	4	0	18	3	46	257	2	13	"E2348C_3087"
102	7	9	10	4	70	7	12	0	0	25	3	34	146	16	2	2	17	1	62	217	3	7	"E2348C_3088"
159	21	9	9	14	128	19	21	6	0	41	4	79	300	45	3	4	25	7	59	386	5	18	"E2348C_3089"
257	43	33	18	17	297	21	24	1	2	59	2	115	426	82	10	4	36	11	155	698	4	24	"E2348C_3090"
172	26	40	19	24	247	19	14	14	5	70	3	98	428	77	10	8	47	2	87	577	3	26	"E2348C_3091"
284	35	60	20	24	269	20	15	10	0	81	12	121	525	52	16	10	25	4	186	1040	6	35	"E2348C_3096"
75	6	24	11	5	131	7	8	4	1	41	4	38	168	27	7	2	14	3	65	337	2	11	"E2348C_3097"
236	39	24	12	11	202	11	14	7	2	44	7	106	357	93	8	5	23	13	119	583	3	15	"E2348C_3098"
242	30	64	28	27	344	31	28	12	5	94	12	102	506	35	11	1	77	23	191	777	10	16	"E2348C_3099"
20	3	2	1	3	24	0	1	0	2	10	3	25	61	2	2	1	3	3	14	94	0	0	"E2348C_3101"
98	12	34	13	5	213	6	1	13	0	47	5	67	273	28	11	1	16	1	114	656	6	17	"E2348C_3102"
496	46	36	23	13	302	72	56	10	11	40	5	37	335	103	29	8	38	6	75	443	10	35	"E2348C_3103"
189	38	24	10	9	111	15	17	9	2	33	5	90	211	20	8	4	14	2	80	404	4	14	"E2348C_3104"
49	6	12	7	3	89	11	6	5	1	27	4	29	109	23	8	0	8	3	55	247	1	4	"E2348C_3105"
173	22	45	16	17	276	23	25	8	4	103	5	80	452	77	18	8	66	9	131	672	6	25	"E2348C_3106"
111	13	34	20	11	161	3	19	14	3	78	3	56	293	19	5	7	30	5	90	454	2	33	"E2348C_3107"
44	4	24	16	15	73	5	8	4	0	34	8	29	422	24	3	0	9	11	32	156	3	9	"E2348C_3108"
12	2	6	2	4	27	1	1	2	0	9	1	10	58	10	0	1	7	0	17	129	2	0	"E2348C_3109"
18	1	5	3	1	28	1	1	0	0	9	0	10	42	8	3	3	7	0	21	91	1	3	"E2348C_3110"
33	3	6	2	2	108	16	15	1	1	14	5	19	108	31	2	0	14	5	38	191	1	5	"E2348C_3111"
8	1	5	0	2	21	1	0	1	3	10	3	14	49	1	1	3	5	0	20	90	1	5	"E2348C_3115"
19	2	36	15	8	291	0	0	6	3	54	1	26	319	10	8	5	57	14	103	679	0	11	"E2348C_3116"
31	46	41	17	10	347	32	51	3	2	63	10	35	232	156	4	1	60	5	77	383	9	23	"E2348C_tRNA_60"
42	10	7	5	4	91	2	3	0	1	13	0	20	103	23	0	1	12	3	42	229	2	27	"E2348C_3117"
22	6	0	1	0	22	0	0	1	0	7	1	12	41	4	3	0	5	0	10	41	0	2	"E2348C_3118"
45	5	2	9	0	56	8	12	0	0	12	0	10	53	23	0	1	11	0	18	125	0	0	"E2348C_3120"
54	8	10	0	5	91	7	5	5	4	23	3	20	191	10	4	2	16	2	61	263	0	10	"E2348C_3121"
5	0	3	1	1	12	2	2	0	1	8	0	5	21	1	0	0	0	3	13	43	2	0	"E2348C_3125"
113	16	29	11	5	85	3	2	1	1	33	1	47	198	46	9	1	12	4	55	240	2	10	"E2348C_3126"
17	3	4	0	3	49	2	3	0	0	12	0	9	60	14	0	0	6	0	17	131	0	3	"E2348C_3134"
7	0	0	1	2	13	0	3	1	0	4	1	5	27	0	0	0	4	1	11	37	0	3	"E2348C_3136"
2	2	2	0	1	19	0	0	3	0	2	0	5	36	8	0	0	1	0	12	48	1	0	"E2348C_3137"
23	3	5	1	0	11	1	0	1	0	9	0	8	38	4	0	0	6	0	12	44	0	10	"E2348C_3142"
463	67	109	60	38	711	56	57	27	9	298	22	326	1241	137	36	24	106	15	367	2314	15	65	"E2348C_3143"
124	28	55	26	27	312	24	21	20	4	107	17	168	725	56	5	10	58	5	197	1048	8	33	"E2348C_3144"
116	27	21	15	15	170	28	16	10	0	54	6	89	307	47	7	4	24	9	85	481	8	15	"E2348C_3145"
66	17	21	5	4	61	2	9	4	0	13	1	39	139	38	0	1	13	5	41	221	3	5	"E2348C_3146"
98	15	11	4	10	97	9	6	3	0	48	3	42	205	41	6	1	18	1	59	300	3	8	"E2348C_3147"
375	63	136	40	47	555	13	25	29	3	238	26	161	1048	88	36	8	134	28	366	1578	19	35	"E2348C_3148"
44	11	11	7	5	74	3	9	6	0	30	3	39	137	8	1	3	8	1	36	254	2	5	"E2348C_3149"
161	24	28	13	10	179	12	8	6	1	65	5	52	296	44	6	0	37	4	72	565	3	17	"E2348C_3150"
36	13	4	5	5	63	3	4	1	0	16	4	36	83	24	0	0	7	1	43	216	1	4	"E2348C_3151"
382	39	22	15	7	88	31	25	7	3	37	3	35	121	60	4	3	15	3	52	278	4	34	"E2348C_3152"
199	19	16	7	5	155	13	15	0	0	22	0	13	130	40	2	1	27	9	51	354	0	7	"E2348C_3153"
143	22	23	8	10	158	9	11	3	1	46	2	65	279	14	8	3	22	1	76	480	1	2	"E2348C_3154"
77	17	32	13	32	276	8	10	13	4	42	8	172	439	43	21	13	33	4	177	821	11	41	"E2348C_3155"
