geneid,4UIN,4UIWT,490WT,490N,4180N,4180WT,5UIN,5UIWT,545WT,545N,590WT,590N,5180N,5180WT,6UIWT,645WT,645N,690WT,690N,6180N,6180WT,445N,445WT
E2348C_1158,6.559999512404608,4.855154110668047,3.305097793552489,0,14.369048112297051,4.964122656792765,11.17437825439175,7.987511601421625,3.0647270449304895,0,4.935404591836113,9.326221529017497,14.565691976981467,4.968888519558501,3.323718062811939,6.268443978519958,0,3.305097793552489,7.797332753768728,11.368715267511606,6.577451780277982,12.383999079515041,4.815999642033627
E2348C_1159,12.0795637582436,10.477271544536574,13.506430467326814,7.434147844465919,10.400232783179687,12.0900186342677,14.878047746999005,7.434147844465919,2.8524069937990895,21.486839078005843,9.06877561165216,17.63788018000738,10.571783014654814,10.599689302309164,15.030469408607418,5.834174848994963,0,13.506430467326814,16.180204132072888,13.57223719925318,13.59167062664022,24.926260419679853,10.458825643929995
E2348C_1173,9.661235329196817,7.14965898246332,0.2149091043115808,4.728000294854776,2.364000147427388,0.23501755851617295,16.45529514385731,11.762342196955784,0,0,7.26237883128594,0,7.2724584688033405,2.5951040314936087,23.777329283668,13.95522667674877,0,4.843317375217088,11.482286430361597,2.574653625911016,2.596793504524953,0,2.364000147427388
E2348C_1174,7.697450899341562,5.6963884109345075,3.8588437622459564,1.8834832649057642,0,5.825851783910289,7.473175534948677,9.371477708311607,3.5957407784564586,0,3.911849857881203,0,2.042650864756956,3.9490465284791223,7.652711283536033,11.118627015411445,0,7.626944578877661,9.148347286685139,5.813521938864979,5.833635611816878,0,0
E2348C_1176,121.15015638973806,118.20982341325849,126.78392335565421,166.54196362356294,179.33492257057722,142.51202346045733,130.93525233242062,119.57701577875463,174.95956970562352,108.57003514632576,193.73739940614414,230.42923998550967,205.13195384842118,139.66948958260173,131.07991780059174,147.9403225608658,111.92447691720206,176.62001294188784,174.9150280636415,170.9784817274506,153.9102583614875,158.9741029442087,182.24870577668295
E2348C_1178,13.798315564860411,13.692998091204693,56.14735618053607,43.72485278937285,38.23030101958705,23.38214194173767,13.622867499188281,8.181579046923545,2.6117648760820016,19.674110925951044,30.188547461123317,69.49941973371425,49.34711050711229,42.53952099496791,15.127365034865758,21.75395929707807,18.667499183424813,19.209708703275325,28.509847277537094,45.258825580497415,37.07005898656372,22.823366931058057,38.30588484920269
E2348C_1179,16.62609273776647,19.508258557288652,22.557009309720378,11.949362013486269,19.43169553312347,13.635938781905809,19.43169553312347,13.45610501820077,23.806955032201362,0,15.099444248063167,4.226757120744955,19.60588860466362,16.63981240479266,12.088077658750615,23.848942607214063,0,12.055781268059302,0,13.624006506841418,16.64315901401457,19.013809607679956,43.494694242504536
E2348C_1180,702.9927698282447,729.1488001714063,1189.9857160722636,1189.8645768863669,864.6807009515221,864.8665760908741,363.0172029332712,320.7824581437328,1180.9770367749463,809.6575565838401,1130.2319343398374,982.6563041438553,742.3472532844565,915.9085846321885,509.00090888683314,1204.3651197042818,915.2615704113798,1130.1999911551738,580.1403671485864,812.3617367956838,889.6633471985232,822.0441000230901,1130.1295649162053
E2348C_1181,404.8659959408929,406.2125927984509,634.0124403670228,485.9420381204128,451.10226010359264,509.32175349794693,250.90862308964327,239.34971127650778,645.39442380546825,418.0849153799314,641.3031687408062,566.972397997435,332.31259778856634,448.39793168654506,200.28411044425613,620.756255194959,404.252990881864,661.5768837568341,347.9418827811935,406.31544691014415,497.72361911759907,645.0711432190525,546.9061549262058
E2348C_1182,34.96661358320396,30.841386137328982,63.05610440677372,65.63453498925317,113.87383036010883,76.52882108891635,49.533135311467774,46.88289804956017,74.88807757087348,52.698690367681856,79.17916574987436,64.07591324345556,77.84288383257817,81.89514589826112,34.931567430090666,64.19726913974998,93.30019741670618,72.4412864894306,54.728274452790856,83.22065236073604,87.25979762484751,97.3794024552308,56.29954851250602
