"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-miR-22-3p_hsa-mir-22"	551470	540250	560311	739736	336564	118144	165203	159404	223662
"hsa-miR-221-5p_hsa-mir-221"	624	319	341	164	170	169	69	110	151
"hsa-miR-221-3p_hsa-mir-221"	7906	7621	7921	5027	3780	1872	2000	1626	2697
"hsa-miR-222-5p_hsa-mir-222"	28	10	15	0	5	3	1	0	0
"hsa-miR-222-3p_hsa-mir-222"	6206	4122	6571	5970	2376	2043	1786	1121	2492
"hsa-miR-223-3p_hsa-mir-223"	39	21	24	21	17	19	9	13	16
"hsa-miR-224-5p_hsa-mir-224"	9306	7870	9786	11424	4561	3239	3318	2283	4223
"hsa-miR-224-3p_hsa-mir-224"	174	158	167	76	112	65	40	52	58
"hsa-miR-2277-5p_hsa-mir-2277"	66	51	73	62	44	25	18	20	30
"hsa-miR-2277-3p_hsa-mir-2277"	3	5	7	19	6	5	8	0	4
"hsa-miR-2355-5p_hsa-mir-2355"	37	18	24	15	13	3	1	4	10
"hsa-miR-23a-5p_hsa-mir-23a"	26	13	12	27	11	4	1	8	20
"hsa-miR-23a-3p_hsa-mir-23a"	1475	1287	1549	1092	888	517	479	517	738
"hsa-miR-23b-3p_hsa-mir-23b"	3681	2971	4162	2913	2074	1261	1368	1251	1891
"hsa-miR-24-1-5p_hsa-mir-24-1"	14	6	9	8	7	1	4	2	4
"hsa-miR-24-3p_hsa-mir-24-1"	3098	3001	3010	1291	1576	931	964	938	1164
"hsa-miR-24-3p_hsa-mir-24-2"	3067	2977	2969	1278	1558	923	948	924	1152
"hsa-miR-24-2-5p_hsa-mir-24-2"	70	55	60	57	35	11	18	16	23
"hsa-miR-2467-5p_hsa-mir-2467"	77	36	39	42	27	18	18	15	23
"hsa-miR-25-5p_hsa-mir-25"	63	52	43	101	26	13	17	13	33
"hsa-miR-25-3p_hsa-mir-25"	28307	24119	26179	23803	13168	6887	9358	7438	10694
"hsa-miR-26a-5p_hsa-mir-26a-1"	459832	450503	518787	420591	260612	133786	140393	144827	204747
"hsa-miR-26a-5p_hsa-mir-26a-2"	459882	450563	518843	420640	260663	133794	140418	144855	204783
"hsa-miR-26a-2-3p_hsa-mir-26a-2"	79	63	84	54	22	12	20	17	24
"hsa-miR-26b-5p_hsa-mir-26b"	311436	349820	346236	207663	161334	71337	78070	78382	107480
"hsa-miR-26b-3p_hsa-mir-26b"	633	535	644	1550	309	175	168	174	239
"hsa-miR-27a-5p_hsa-mir-27a"	56	22	36	86	26	22	14	9	32
"hsa-miR-27a-3p_hsa-mir-27a"	156146	143277	139448	172671	80241	32240	53154	48020	63520
"hsa-miR-27b-5p_hsa-mir-27b"	269	197	231	324	97	61	84	73	91
